sample	pop	isolate	sex
SAMN08465592	C1_rural_2013	BO15-143	male
SAMN08465591	C1_rural_2013	BO15-145	female
SAMN08465555	C3_urban_2012	BO15-042	male
SAMN08465557	C3_urban_2012	BO15-078	female
SAMN08465558	C3_urban_2012	BO15-046	male
SAMN08465559	C3_urban_2012	BO15-047	female
SAMN08465560	C3_urban_2012	BO15-048	female
SAMN08465495	A_urban_2014	BO15-116	male
SAMN08465578	B_rural_2016	BO17-008	female
SAMN08465581	C1_rural_2012	BO15-177	female
SAMN08465464	A_rural_2014	BO15-124	male
SAMN08465486	A_urban_2014	BO15-108	female
SAMN08465519	B_urban_2014	BO15-100	female
SAMN08465535	C1_urban_2012	BO15-022	male
SAMN08465564	B_rural_2015	BO15-231	missing
SAMN08465476	A_rural_2014	BO15-135	male
SAMN08465488	A_urban_2014	BO15-110	male
SAMN08465490	A_urban_2014	BO15-112	male
SAMN08465556	C3_urban_2012	BO15-043	female
SAMN08465533	C1_urban_2012	BO15-071	male
SAMN08465480	A_rural_2014	BO15-139	female
